mngentity,"""Mission Statement"" ",Stated mission statement?,Primary Objective,Other Objective 1,Other Objective 2,Sub Org of,Source,Flag,Notes
DIST_RWD_Padre Dam Municipal Water District,"Our mission is to provide quality water, recycled water, park and recreational facilities and wastewater management services for our customers. We accomplish this mission in the most cost-effective manner possible, earning customer and community respect.",Yes,Watershed protection,Recreation/parks/Trails/greenways,,,https://www.padredam.org/8/About-Us,,
DIST_RWD_Rainbow Municipal Water District,"To provide our customers reliable, high quality water and water reclamation service in a fiscally sustainable manner.",Yes,Watershed protection,,,,https://www.rainbowmwd.com/our-mission,,
DIST_RWD_Ramona Municipal Water District,"The mission of the Ramona Municipal Water District is to provide satisfactory water, fire, sewer, emergency medical services, disaster preparedness and park services that meet minimum standards in a cost-effective, innovative and equitable manner for the present and future residents and businesses of Ramona.",Yes,Watershed protection,,,,https://www.rmwd.org/about-us/advanced-components/search?q=mission,Yes,Stated on pdf not website
DIST_RWD_San Diego County Water Authority,,No,Watershed protection,,,,https://www.sdcwa.org/about-us/,,
DIST_RWD_San Gabriel County Water District,"The mission of San Gabriel County Water District is to provide high quality water for residential, commercial, industrial and fire protection uses that meets or exceeds all local, state and federal standards and to provide courteous and responsive service at the most reasonable cost to our customers.",Yes,Watershed protection,,,,https://sgcwd.com/history-and-mission,,
DIST_RWD_San Gabriel River Water Committee,,No,Watershed protection,,,,https://www.usbr.gov/drought/docs/apps/2017/projects/DRP-002-San-Gabriel-Water-Application_508.pdf,,
DIST_RWD_San Lorenzo Valley Water District,"Our mission is to provide our customers and all future generations with reliable, safe and high quality water at an equitable price; to create and maintain outstanding customer service; to manage and protect the environmental health of the aquifers and watersheds; and, to ensure the fiscal vitality of the San Lorenzo Valley Water District.",Yes,Watershed protection,,,,https://www.slvwd.com/about-us,,
DIST_RWD_Santa Barbara Flood Control and Water Conserv. District,"To provide flood protection and water conservation, and to promote an adequate water supply for the residents of Santa Barbara County.",Yes,Watershed protection,,,,https://www.countyofsb.org/pwd/floodcontrol.sbc,Yes,Public works department I think
DIST_RWD_Santa Margarita Water District,"The Santa Margarita Water District provides our customers with quality water and wastewater service – maximizing human, environmental, and financial resources – to help guide South Orange County’s water and wastewater needs into the next century.",Yes,Watershed protection,,,,https://www.smwd.com/316/About-Us,,
DIST_RWD_Scotts Valley Water District,Scotts Valley Water District delivers a sustainable high quality water service in an environmentally responsible and financially sound manner.,Yes,Watershed protection,,,,https://www.svwd.org/mission,,
DIST_RWD_Sonoma County Water Agency,"The mission of Sonoma Water is to effectively manage the water resources in our care for the benefit of people and the environment through resource and environmental stewardship, technical innovation, and responsible fiscal management.",Yes,Watershed protection,,,,https://www.sonomawater.org/about-us,,
DIST_RWD_Soquel Creek Water District,"We are a public agency dedicated to providing a safe, high-quality, reliable, and sustainable water supply to meet our community’s present and future needs in an environmentally sensitive and economically responsible manner.",Yes,Watershed protection,,,,https://www.soquelcreekwater.org/203/Mission-Statement,,
DIST_RWD_South Sutter Water District,"The purpose of the District is to bring 80,000 acre feet of surface water on an annual basis into the District to stop further depletion of the ground water basin. The average delivery per year from 1965 through 2016 is approximately 103,311 acre feet. This includes the drought year of 1977 when no water was delivered and the Drought years of 2012 to 2015 when the District delivered about 50% of the normal deliveries. The District has been able to stabilize the ground water basin even though a majority of the landowners have to continue pumping from that basin yearly.",Yes,Watershed protection,,,,http://www.southsutterwd.com/about/,Yes,7 paragraph long mission
DIST_RWD_Trabuco Canyon Water District,"IT IS THE PURPOSE OF THE TRABUCO CANYON WATER DISTRICT, A PUBLIC SERVICE AGENCY, TO PROVIDE; • service to our customers which instills trust regarding the quality and quantity of the water supply • reliable service for collection, treatment, and reuse of wastewater • a work environment where the safety and health of employees and customers is our paramount concern • information to our customers to foster and maintain a well informed community • cost effective and efficient services in a courteous manner.",Yes,Watershed protection,,,,https://www.tcwd.ca.gov/about-us/general-policy-rules-and-regulations,Yes,Stated on pdf from the website
DIST_RWD_United Water Conservation District,,No,Watershed protection,,,,https://www.unitedwater.org/wp-content/uploads/2020/12/2021-01-05-Water-Resources-Committe-Meeting-Full-Packet-4.pdf,,
DIST_RWD_Vallecitos Water District,"The mission of Vallecitos Water District is to serve as water and wastewater specialists,
providing exceptional and sustainable services.",Yes,Watershed protection,,,,https://www.vwd.org/about-us/mission-statement,,
DIST_RWD_Valley Center Water District,Our Mission is to Ensure Customer Satisfaction Through Quality Service at the Lowest Possible Cost.,Yes,Watershed protection,,,,http://www.vcmwd.org/Our-District/Fact-Sheet,,
DIST_RWD_Watershed Conservation Authority,,No,Watershed protection,Open space,,,https://www.wca.ca.gov/vision_goals,,
DIST_RWD_Yucaipa Valley Water District,"Yucaipa Valley Water District is committed to professionally managing the precious water, sewer and recycled water resources of the Yucaipa Valley in a reliable, efficient and cost effective manner in order to provide the finest service to our customers, both present and future.",Yes,Watershed protection,,,,https://www.yvwd.us/about_us/mission_statement.php,,
DIST_RWD_Yuima Municipal Water District,"To provide a diversified, sustainable water supply for water service to our Pauma Valley customers that exceeds all standards of quality and reliability at fair, reasonable, and equitable rates.",Yes,Watershed protection,,,,https://www.yuimamwd.com/newdev/general-information/about-yuima,,
FED_DOD,Our mission is to provide the military forces needed to deter war and ensure our nation's security.,Yes,Cultural,,,,https://www.defense.gov/our-story/,Yes,Assuming this is the Department of Defense
FED_OTHR,,,,,,,,Yes,N/A organization
"LOC_CITY_Adelanto, City of","To provide our citizens with the highest quality of service and to uphold and enforce Codes and Standards established to protect the integrity, public health, safety and welfare of all residents, business owners and visitors based upon priorities which are consistent with established standards. Courtesy and professionalism will serve as guiding principles which will permeate the character of Code Compliance, thereby ensuring that our determination to deter violations within the City is tempered with sensitivity and compassion.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.ci.adelanto.ca.us/,,
"LOC_CITY_Agoura Hills, City of","Agoura Hills is a unique suburban community exemplified by a commitment to the preservation of its history, a high quality of life, a vibrant business community, and environmental sensitivity. We are a city steeped in a rich historical past through which we have emerged as a vital, prosperous community committed to excellence, innovation, and sound fiscal policies. Our neighborhoods are safe, healthy, and as unique as the individuals who inhabit them. We believe the City’s greatest asset is our people and we welcome the involvement of all those who live and work in the City of Agoura Hills to partner with us in making this community one of excellence. We are committed to preserving the unique character, historical and rural fabric, and environmental beauty that defines Agoura Hills to its residents. We will accomplish this through the values of Service, Integrity, Positive Solutions, and Cooperation.",Yes,Cultural,Recreation/parks/Trails/greenways,Open space,,https://www.agourahillscity.org/home,,
"LOC_CITY_Alameda, City of",,No,Cultural,,,,https://www.alamedaca.gov/Home,,
"LOC_CITY_Albany, City of","The City of Albany is dedicated to maintaining its small town ambience, responding to the needs of a diverse community, and providing a safe, healthy and sustainable environment.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.calopps.org/city-of-albany,,
"LOC_CITY_Alhambra, City of","The City of Alhambra is dedicated to responsive and creative leadership and quality services, ensuring desirable neighborhoods and a supportive business environment, while being sensitive to the diversity of our community.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofalhambra.org/,,
"LOC_CITY_Aliso Viejo, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://avcity.org/,,
"LOC_CITY_Amador City, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://amador-city.com/about-amador-city-history/,,
"LOC_CITY_American Canyon, City of","Our mission is to deliver exemplary services that are responsive to community priorities, ensure a healthy and sustainable organization, and drive us toward our shared vision for the future.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofamericancanyon.org/government/city-hall/mayor-city-council/city-council-goals-priorities,Yes,"City Council mission statement, so close enough?"
"LOC_CITY_Anaheim, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.anaheim.net/,,
"LOC_CITY_Anderson, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.ci.anderson.ca.us/departments/development_services_and_building_departments/general_plan.php,,
"LOC_CITY_Angels Camp, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,http://angelscamp.gov/,,
"LOC_CITY_Antioch, City of","To deliver quality services with integrity, excellence and innovation",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.antiochca.gov/fc/community/announcements/Strategic-Plan-for-Antioch.pdf,Yes,Stated on pdf not website
"LOC_CITY_Arcadia, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.arcadiaca.gov/,,
"LOC_CITY_Arroyo Grande, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.arroyogrande.org/,,
"LOC_CITY_Artesia, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofartesia.us/,,
"LOC_CITY_Arvin, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.arvin.org/,,
"LOC_CITY_Atascadero, City of","The City of Atascadero is committed to building community by fostering an outstanding quality of life with excellent public service, stewardship of the environment, preservation of our heritage and promotion of economic prosperity.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.atascadero.org/,,
"LOC_CITY_Atherton, Town of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.ci.atherton.ca.us/,,
"LOC_CITY_Atwater, City of","The Mission for the City of Atwater is to provide innovative, sustained high quality public services to the community through each employee using their maximum capabilities.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.atwater.org/docs/citycouncil/City%20of%20Atwater%20Council-Staff%202019.pdf,Yes,Stated on pdf not website
"LOC_CITY_Auburn, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.auburn.ca.gov/,,
"LOC_CITY_Avalon, City of",,No,Cultural,Open space,Recreation/parks/Trails/greenways,,http://www.cityofavalon.com/,,
"LOC_CITY_Avenal, City of","To be a caring community, promoting an oasis of opportunities for all to prosper. We do this through diligent stewardship, community, partnership, service and growth.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofavenal.com/1/home,,
"LOC_CITY_Azusa, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.ci.azusa.ca.us/,,
"LOC_CITY_Bakersfield, City of",,No,Cultural,Recreation/parks/Trails/greenways,Wildlife habitat,,https://www.bakersfieldcity.us/,,
"LOC_CITY_Baldwin Park, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.baldwinpark.com/,,
"LOC_CITY_Banning, City of","Our mission as a city is to in a cost-effective, citizen-friendly, and open manner, provide the people with a safe, pleasant and prosperous environment in which to live, work and play",Yes,Cultural,Recreation/parks/Trails/greenways,,,http://www.banning.ca.us/,,
"LOC_CITY_Barstow, City of","The City of Barstow is dedicated to:

Providing quality public services

Promoting economic development
Expanding housing, education and recreation
Celebrating our diverse cultural history
Creating pride in our community",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.barstowca.org/government,,
"LOC_CITY_Beaumont, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.beaumontca.gov/,,
"LOC_CITY_Bell Gardens, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.bellgardens.org/,,
"LOC_CITY_Bell, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofbell.org/,,
"LOC_CITY_Bellflower, City of","To protect and enrich the quality of life, to make Bellflower an excellent place to live, work and play.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.bellflower.org/,,
"LOC_CITY_Belmont, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.belmont.gov/our-city/about-belmont,Yes,Vision statement
"LOC_CITY_Belvedere, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofbelvedere.org/,,
"LOC_CITY_Benicia, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.ci.benicia.ca.us/,,
"LOC_CITY_Berkeley, City of",,No,Cultural,,,,https://www.cityofberkeley.info/home.aspx,,
"LOC_CITY_Beverly Hills, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.beverlyhills.org/,Yes,"no mission statement but vision statement: The City of Beverly Hills… Offers the highest quality of life achievable and maintains a unique and friendly character for residents, visitors, and neighbors. Is a world-class community, offering an extraordinary environment, activities, and events. Is known throughout the region, state and nation as a leading edge, innovative community in its government, business, and technology programs. Is committed to being the safest city in America. Is known internationally for its alluring and distinctive hotels, retail stores, restaurants, and entertainment and headquarter businesses."
"LOC_CITY_Big Bear Lake, City of","Secure our future through a proactive, open, and responsive government focused on infrastructure, development standards, fiscal responsibility, public safety, and community pride for our residents, visitors, and businesses.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.citybigbearlake.com/,,
"LOC_CITY_Bishop, City of",,No,Cultural,,,,https://www.cityofbishop.com/,,
"LOC_CITY_Blue Lake, City of",,No,Cultural,,,,https://bluelake.ca.gov/,,
"LOC_CITY_Blythe, City of",,No,Cultural,Recreation/parks/Trails/greenways,Watershed protection,,https://www.cityofblythe.ca.gov/,,
"LOC_CITY_Bradbury, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofbradbury.org/,,
"LOC_CITY_Brawley, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,http://www.brawley-ca.gov/,,
"LOC_CITY_Brea, City of","Maintain a Safe Environment for Breans: Public safety is a basic element of Brea’s quality of life. The city will continue to use education and prevention approaches as well as enforcement and appropriate maintenance of facilities to enhance people’s sense of security. Ensure Brea Remains a Special Place: Brea’s small town atmosphere, our sense of community, and our physical assets make Brea a special place. The city resolves to protect Brea’s hillside and canyon areas and foster family values, quality education, cultural understanding, a vibrant civic and cultural life, and an involved and caring citizenry. Protect & Enhance Brea as a Balanced Community: A successful community sustains itself by ensuring a balance in physical, economic, and human development. A balanced community provides residents and businesses with the infrastructure and services which fulfill the diverse expectations of the community. A balanced community will provide a variety of land uses, promote economic health, and create and retain jobs while diversifying the revenue base needed to support services and maintain a sound reserve fund. A balanced community will also ensure a diversity of affordable housing opportunities for all elements of Brea, from the young to the old. Increase Breans’ Sense of Civic Ownership: The city commits itself to two-way communication and interaction with the community to facilitate vision building, long-range planning, and organizational excellence. These elements are necessary for the long-term success of the community.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.ci.brea.ca.us/,,
"LOC_CITY_Brentwood, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.brentwoodca.gov/default.asp,,
"LOC_CITY_Brisbane, City of",,No,Cultural,,,,https://www.brisbaneca.org/,,
"LOC_CITY_Buellton, City of",Strive to provide the highest quality of life for its residents in the most sustainable and efficient manner.,Yes,Cultural,Recreation/parks/Trails/greenways,Watershed protection,,https://cityofbuellton.com/,,
"LOC_CITY_Buena Park, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,http://www.buenapark.com/,,
"LOC_CITY_Burbank, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.burbankca.gov/,,
"LOC_CITY_Burlingame, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.burlingame.org/index.php,,
"LOC_CITY_Calabasas, City of",,Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofcalabasas.com/,,
"LOC_CITY_Calexico, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.calexico.ca.gov/,,
"LOC_CITY_California City, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,http://www.californiacity-ca.gov/,,
"LOC_CITY_Calimesa, City of",To preserve and enhance the open space atmosphere and quality of life in Calimesa.,Yes,Cultural,Open space,Wildlife habitat,,http://www.cityofcalimesa.net/,,
"LOC_CITY_Calipatria, City of",,No,Cultural,,,,http://www.calipatria.com/,,
"LOC_CITY_Calistoga, City of","We are dedicated to serving the needs and desires of our citizens by: 

Maintaining and enhancing economic viability. 
Offering excellent professional services to all customers.
Establishing, improving and maintaining City infrastructure. 
Creating an environmentally sustainable community.
Maintaining the small-town, rural character of Calistoga.
Expanding and improving recreational services and facilities.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.ci.calistoga.ca.us/about-us/mission-statement,,
"LOC_CITY_Campbell, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.ci.campbell.ca.us/,,
"LOC_CITY_Canyon Lake, City of","Incorporated on December 1, 1990, the City of Canyon Lake’s mission is to provide public services that sustain and enhance the quality of life for our community. ",Yes,Cultural,Recreation/parks/Trails/greenways,Open space,,http://canyonlakeca.gov/,,
"LOC_CITY_Capitola, City of","Our mission as the employees of the City of Capitola is to provide high quality service for our residents, visitors, businesses & employees.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofcapitola.org/,,
"LOC_CITY_Carlsbad, City of","To protect and serve the community with integrity, professionalism and valor",Yes,Cultural,Recreation/parks/Trails/greenways,Watershed protection,,https://www.carlsbadca.gov/,Yes,also has objectives of open space and habitat management
"LOC_CITY_Carmel-by-the-Sea, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://ci.carmel.ca.us/,,
"LOC_CITY_Carpinteria, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://carpinteriaca.gov/,,
"LOC_CITY_Carson, City of",,No,Cultural,Recreation/parks/Trails/greenways,Open space,,https://ci.carson.ca.us/,,
"LOC_CITY_Cathedral City, City of","Moving Cathedral City Forward With Commitment, Pride and Excellence: 
Creating a safe, inclusive and progressive community
Providing quality service
Valuing fairness, balance and trust
Building partnerships
Honoring our similarities and differences
Celebrating our independent spirit",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.cathedralcity.gov/,,
"LOC_CITY_Ceres, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.ci.ceres.ca.us/,,
"LOC_CITY_Cerritos, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,http://www.cerritos.us/,,
"LOC_CITY_Chico, City of",The City of Chico’s mission is to protect and enhance our community’s quality of life for present and future generations.,Yes,Cultural,Recreation/parks/Trails/greenways,,,https://chico.ca.us/government,,
"LOC_CITY_Chino Hills, City of","It is the mission of the City of Chino Hills, in partnership with the community, to continue to develop and maintain the aesthetic beauty of the City, while fostering a safe and family oriented environment. The City is committed to providing excellent customer service, effectively managing growth, and creating a viable financial plan to ensure the continued success of the City.",Yes,Cultural,Recreation/parks/Trails/greenways,Open space,,https://www.chinohills.org/,,
"LOC_CITY_Chino, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofchino.org/,,
"LOC_CITY_Chowchilla, City of","Deliver exemplary services that are responsive to community priorities, ensure a healthy and sustainable organization, and drive us toward our shared vision for the future.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://cityofchowchilla.org/Search?searchPhrase=mission+statement,Yes,Stated on pdf from the website
"LOC_CITY_Chula Vista, City of",,No,Cultural,Recreation/parks/Trails/greenways,Open space,,https://www.chulavistaca.gov/,,
"LOC_CITY_Claremont, City of","We are a vibrant, livable, and inclusive community dedicated to quality services, safety, financial strength, sustainability, preservation, and progress with equal representation for our community.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.ci.claremont.ca.us/,,
"LOC_CITY_Clayton, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://claytonca.gov/,,
"LOC_CITY_Clearlake, City of",The mission of the City of Clearlake is to enhance the quality of life for all of its residents and visitors through adherence to its core values.,Yes,Cultural,Recreation/parks/Trails/greenways,,,https://clearlake.ca.us/236/Transparency,,
"LOC_CITY_Clovis, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://cityofclovis.com/government/city-council/council-goals/,,
"LOC_CITY_Coachella, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.coachella.org/,,
"LOC_CITY_Coalinga, City of","The Mission of the City of Coalinga is to provide for the preservation of the community character by delivering quality, responsive City services in an efficient and cost-effective manner, and to develop, encourage, and promote a diversified economic base in order to ensure the future financial stability of the City for its citizens.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.coalinga.com/277/Coalinga-Mission-Statement-Vision-2025,,
"LOC_CITY_Colfax, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://colfax-ca.gov/,,
"LOC_CITY_Colton, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.ci.colton.ca.us/,,
"LOC_CITY_Colusa, City of","Our Mission as the City of Colusa is to provide and maintain a progressive, family-oriented, safe community.  This will be accomplished through positive, responsible leadership, economic and social opportunities, and planned growth for everyone, while maintaining an attractive environment.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofcolusa.com/home/government/,,
"LOC_CITY_Commerce, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.ci.commerce.ca.us/,,
"LOC_CITY_Compton, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,http://www.comptoncity.org/default.asp,,
"LOC_CITY_Concord, City of","Our mission is to join with our community to make Concord a city of the highest quality. We do this by providing responsive, cost-effective, and innovative local government services.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofconcord.org/236/Mission-Vision-Values,,
"LOC_CITY_Corcoran, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofcorcoran.com/,,
"LOC_CITY_Corning, City of","The City’s elected Officials and Staff have been entrusted with the responsible stewardship and financial management of the resources belonging to the community.  As such, to sustain consistency, growth and quality of life within our community, City Officials and Staff are committed to positive long-range planning, effective management of resources, transparency, safety, and are receptive to innovative ideas.  The goal is to promote efficient, effective and proactive programs, and focus on a vision to move the City forward towards a positive future.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.corning.org/departments/city-council/,Yes,"City Council mission statement, so close enough?"
"LOC_CITY_Corona, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.coronaca.gov/,,
"LOC_CITY_Coronado, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.coronado.ca.us/,,
"LOC_CITY_Corte Madera, Town of","The mission of the Town of Corte Madera is to serve our residents and businesses in a way that advances our community’s health, safety, and quality of life. We strive to deliver services in a courteous, transparent and effective manner. We work alongside residents to improve the beauty, infrastructure and character of our town in a fiscally responsible way that ensures a vibrant and prosperous future for all of Corte Madera.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.townofcortemadera.org/,,
"LOC_CITY_Costa Mesa, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.costamesaca.gov/,,
"LOC_CITY_Cotati, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,http://www.cotaticity.org/city_hall/city_council/a_vision_for_cotati,,
"LOC_CITY_Covina, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://covinaca.gov/,,
"LOC_CITY_Crescent City, City of","The purpose of Crescent City is to promote a high quality of leadership, services, and life to our residents, businesses, and visitors by providing the most efficient, innovative and economically sound municipal services, based on our diverse history, culture and unique natural resources.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.crescentcity.org/MissionandVisionStatements,,
"LOC_CITY_Cudahy, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofcudahy.com/,,
"LOC_CITY_Culver City, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.culvercity.org/Home,,
"LOC_CITY_Cupertino, City of","The Mission of the City of Cupertino is to provide exceptional service, encourage all members of the community to take responsibility for one another, and support the values of education, innovation and collaboration.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.cupertino.org/i-want-to/advanced-components/search?q=mission%20statement,Yes,Stated on pdf from the website
"LOC_CITY_Cypress, City of","The City of Cypress, in partnership with the community, sustains and enhances our safe, attractive and quality environment in which to live, work and play.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.cypressca.org/resident/about-us,,
"LOC_CITY_Daly City, City of","The City of Daly City is committed to addressing the diverse and changing needs of residents,
businesses and employees. It will accomplish its mission through the efficient delivery of quality
municipal services provided with a human touch.
To this end, the City will strive to:
? Assure the safety and general well-being of the community;
? Preserve, improve and develop the physical and aesthetic aspects of the community;
? Encourage the economic health, balance and stability of the community;
? Provide recreational, cultural, social and educational opportunities for residents to
enhance their quality of life:
? Develop and maintain a highly capable workforce",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.dalycity.org/Search?searchPhrase=mission%20statement,Yes,Stated on pdf from the website
"LOC_CITY_Dana Point, City of",Dana Point's mission is to set the standard for an exceptionally livable city.,Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.danapoint.org/i-want-to-/mission-statement,,
"LOC_CITY_Danville, Town of",The Town of Danville's mission statement is to deliver superior municipal services that make people's lives better.,Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.danville.ca.gov/27/Town-Government,,
"LOC_CITY_Davis, CA",,,,,,,,Yes,repeat
"LOC_CITY_Davis, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofdavis.org/,,
"LOC_CITY_Del Mar, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.delmar.ca.us/,,
"LOC_CITY_Del Rey Oaks, City of","The mission of the City of Del Rey Oaks is to provide quality municipal services to those who live, work and visit our safe, small town in the sunbelt of the Monterey Peninsula.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.delreyoaks.org/community,,
"LOC_CITY_Delano, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofdelano.org/,,
"LOC_CITY_Desert Hot Springs, City of","The City of Desert Hot Springs is committed to becoming a world class health and wellness destination based upon its famous miracle waters, unique desert ecosystem, spectacular mountain views, and natural environment.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofdhs.org/visitor-info,,
"LOC_CITY_Diamond Bar, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.diamondbarca.gov/,,
"LOC_CITY_Dinuba, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.dinuba.org/,,
"LOC_CITY_Dixon, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofdixon.us/,,
"LOC_CITY_Dos Palos, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://dospaloscity.wixsite.com/dospalos,,
"LOC_CITY_Downey, City of","Proudly committed to continuously improving the quality of life for the Downey community by providing excellent service in a professional, ethical, and responsible manner.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.downeyca.org/our-city/city-mission-statement-values,,
"LOC_CITY_Duarte, City of","With integrity and transparency, the City of Duarte provides exemplary public services in a caring and fiscally responsible manner with a commitment to our community’s future.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.accessduarte.com/about/mission_statement.htm,,
"LOC_CITY_Dublin, City of","The City of Dublin promotes and supports a high quality of life, ensures a safe and secure environment, fosters new opportunities, provides equity across all programs, and champions a culture of diversity and inclusion.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://dublin.ca.gov/72/Mission-Vision,,
"LOC_CITY_East Palo Alto, City of","The City of East Palo Alto provides responsive, respectful, and efficient public services to enhance the quality of life and safety for its multi-cultural community.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofepa.org/community/page/mission-statement,,
"LOC_CITY_El Cajon, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofelcajon.us/home,,
"LOC_CITY_El Centro, CA",,,,,,,,Yes,repeat
"LOC_CITY_El Centro, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,http://www.cityofelcentro.org/index.asp,,
"LOC_CITY_El Cerrito, City of","The City of El Cerrito serves, leads and supports our diverse and transit-rich community by providing exemplary and innovative services, public places and infrastructure, ensuring public safety, and creating an economically and environmentally sustainable future.",Yes,Cultural,Recreation/parks/Trails/greenways,,,http://www.el-cerrito.org/747/Strategic-Plan,,
