mentity,acres_in_partership
"LOC_CITY_Del Rey Oaks, City of",0
"LOC_CITY_Laguna Hills, City of",0
"LOC_CITY_Delano, City of",0
"LOC_CITY_Lake Elsinore, City of",0
"LOC_CITY_Desert Hot Springs, City of",0
"LOC_CITY_Lakeport, City of",0
"LOC_CITY_Diamond Bar, City of",0
"LOC_CITY_Lancaster, City of",0
"LOC_CITY_Dinuba, City of",0
"LOC_CITY_Lathrop, City of",0
"LOC_CITY_Dixon, City of",0
"LOC_CITY_Lemon Grove, City of",0
"LOC_CITY_Dos Palos, City of",0
"LOC_CITY_Lincoln, City of",0
"LOC_CITY_Downey, City of",0
"LOC_CITY_Live Oak, City of",0
"LOC_CITY_Duarte, City of",0
"LOC_CITY_Livermore, City of",0
"LOC_CITY_Dublin, City of",0
"LOC_CITY_Lodi, City of",0
"LOC_CITY_East Palo Alto, City of",0
"LOC_CITY_Lomita, City of",0
"LOC_CITY_El Cajon, City of",0
"LOC_CITY_Long Beach, City of",0
"LOC_CITY_El Centro, CA",0
"LOC_CITY_Los Alamitos, City of",0
"LOC_CITY_El Centro, City of",0
"LOC_CITY_Los Altos, City of",0
"LOC_CITY_El Cerrito, City of",0
"LOC_CITY_Los Angeles Department of Recreation and Parks, City of",0
"LOC_CITY_El Monte, City of",0
"LOC_CITY_Los Banos, City of",0
"LOC_CITY_El Segundo, City of",0
"LOC_CITY_Loyalton, City of",0
"LOC_CITY_Amador City, City of",0
"LOC_CITY_Madera, City of",0
"LOC_CITY_Emeryville, City of",0
"LOC_CITY_Mammoth Lakes, Town of",0
"LOC_CITY_Encinitas, City of",0
"LOC_CITY_Manteca, City of",0
"LOC_CITY_Escalon, City of",0
"LOC_CITY_Martinez, City of",0
"LOC_CITY_American Canyon, City of",0
"LOC_CITY_Maywood, City of",0
"LOC_CITY_Etna, City of",0
"LOC_CITY_Mendota, City of",0
"LOC_CITY_Eureka, City of",0
"LOC_CITY_Menlo Park, City of",0
"LOC_CITY_Modesto, City of",0
"LOC_CITY_Mill Valley, City of",0
"LOC_CITY_Montclair, City of",0
"LOC_CITY_Milpitas, City of",0
"LOC_CITY_Monterey Park, City of",0
"LOC_CITY_Antioch, City of",0
"LOC_CITY_Moorpark, City of",0
"LOC_CITY_Exeter, City of",0
"LOC_CITY_Montebello, City of",0
"LOC_CITY_Fairfax, Town of",0
"LOC_CITY_Monterey, City of",0
"LOC_CITY_Fairfield, CA",0
"LOC_CITY_Moraga, Town of",0
"LOC_CITY_Fairfield, City of",0
"LOC_CITY_Morgan Hill, City of",0
"LOC_CITY_Farmersville, City of",0
"LOC_CITY_Mount Shasta, City of",0
"LOC_CITY_Ferndale, City of",0
"LOC_CITY_Murrieta, City of",0
"LOC_CITY_Fillmore, City of",0
"LOC_CITY_National City, City of",0
"LOC_CITY_Firebaugh, City of",0
"LOC_CITY_Nevada City, City of",0
"LOC_CITY_Folsom, City of",0
"LOC_CITY_Newman, City of",0
"LOC_CITY_Fontana, City of",0
"LOC_CITY_Norco, City of",0
"LOC_CITY_Fort Bragg, City of",0
"LOC_CITY_Novato, City of",0
"LOC_CITY_Fort Jones, City of",0
"LOC_CITY_Oakland, City of",0
"LOC_CITY_Fortuna, City of",0
"LOC_CITY_Oceanside, City of",0
"LOC_CITY_Foster City, City of",0
"LOC_CITY_Ontario, City of",0
"LOC_CITY_Fountain Valley, City of",0
"LOC_CITY_Orange, City of",0
"LOC_CITY_Fowler, City of",0
"LOC_CITY_Orland, City of",0
"LOC_CITY_Fremont, City of",0
"LOC_CITY_Oxnard, City of",0
"LOC_CITY_Fresno, City of",0
"LOC_CITY_Pacifica, City of",0
"LOC_CITY_Fullerton, City of",0
"LOC_CITY_Alhambra, City of",0
"LOC_CITY_Galt, City of",0
DIST_REG_Rosamond Community Services District,0
DIST_REG_Winton Cemetery District,0
DIST_REG_Sonoma-Marin Area Rail Transit,0
DIST_REG_Coalinga Cemetery District,0
DIST_RWD_San Lorenzo Valley Water District,0
DIST_REG_Coalinga-Huron Recreation and Park District,0
DIST_REG_Sanger/Del Rey Cemetery District,0
DIST_REG_Coastal San Luis Resource Conservation District,0
DIST_REG_Twain Harte Community Services District,0
DIST_REG_Coloma-Lotus,0
DIST_RWD_Marina County Water District,0
DIST_REG_Concord Landscaping and Lighting Maintenance District No. 3,0
DIST_REG_Rancho Simi Recreation and Park District,0
DIST_REG_Artesia Cemetery District,0
DIST_REG_Sacramento Regional County Sanitation District,0
DIST_REG_Conejo Recreation and Park District,0
DIST_REG_Shafter Recreation and Park District,0
DIST_REG_Conejo Valley Unified School District,0
DIST_REG_Templeton Community Services District,0
DIST_REG_Consumnes Community Services District,0
DIST_REG_Weaverville - Douglas City Recreation District,0
DIST_REG_Cordova Recreation and Park District,0
DIST_RWD_Coastside County Water District,0
DIST_REG_County Service Area 42,0
DIST_REG_Cameron Park Community Services District,0
DIST_REG_Culver City Unified School District,0
DIST_REG_Porterville Public Cemetery District,0
DIST_REG_Desert Recreation District,0
DIST_REG_Rio Linda Elverta Recreation and Park District,0
DIST_REG_Dos Palos Cemetery District,0
DIST_REG_Sacramento and San Joaquin Drainage District,0
DIST_REG_Downey Unified School District,0
DIST_REG_San Diego Unified Port District,0
DIST_REG_Dunsmuir Recreation and Park District,0
DIST_REG_Santa Fe Irrigation District,0
DIST_REG_Durham Recreation and Park District,0
DIST_REG_Solano Tri-City and County Cooperative Planning Group,0
DIST_REG_East Bay Municipal Utility District,0
DIST_REG_Sweetwater Authority,0
DIST_REG_Auburn Recreation District,0
DIST_REG_Tulare Cemetery District,0
DIST_REG_El Dorado Hills Community Service District,0
DIST_REG_Visalia Cemetery District,0
DIST_REG_Azusa Unified School District,0
DIST_REG_Western Riverside County Regional Conservation Authority,0
DIST_REG_Exeter Cemetery District,0
DIST_RWD_Borrego Water District,0
DIST_REG_Fair Oaks Recreation and Park District,0
DIST_RWD_Kaweah Delta Water Conservation District,0
DIST_REG_Fall River Resource Conservation District,0
DIST_RWD_Napa County Flood Control and Water Conservation District,0
DIST_REG_Feather River Recreation and Park District,0
DIST_RWD_Ramona Municipal Water District,0
DIST_REG_Fowler Cemetery District,0
DIST_RWD_United Water Conservation District,0
DIST_REG_Fresno Metropolitan Flood Control District,0
DIST_REG_Rancho Rinconada Recreation and Park District,0
DIST_REG_Fulton - El Camino,0
DIST_REG_Ridgecrest Ranchos Recreation and Park District,0
DIST_REG_Georgetown Divide Public Utility District,0
DIST_REG_Boulder Creek Recreation and Park District,0
DIST_REG_Georgetown Divide Recreation District,0
DIST_REG_Rossmore Community Services District,0
DIST_REG_Goleta Cemetery District,0
DIST_REG_Sacramento Housing and Redevelopment Agency,0
DIST_REG_Gonzales Cemetery District,0
DIST_REG_San Andreas Recreation and Park District,0
DIST_REG_Greater Vallejo Recreation and Park District,0
DIST_REG_San Dimas-La Verne Recreational Facilities Authority,0
DIST_REG_Greenfield Cemetery District,0
DIST_REG_Santa Barbara Cemetery Association,0
DIST_REG_Greenfield Public Recreation District,0
DIST_REG_Santa Maria Public Airport District,0
DIST_REG_Groveland Community Services District,0
DIST_REG_Simi Valley Public Cemetery District,0
DIST_REG_Guadalupe Cemetery District,0
DIST_REG_Soledad-Mission Recreation District,0
DIST_REG_Happy Camp Community Services District,0
DIST_REG_Strawberry Recreation District,0
DIST_REG_Hayward Area Recreation and Park District,0
DIST_REG_Tamalpais Community Services District,0
DIST_REG_Heber Public Utility District,0
DIST_REG_Brooktrails Community Services District,0
DIST_REG_Carmel Valley Recreation Park District,0
DIST_REG_Tuolumne Park and Recreation District,0
DIST_REG_Highlands Recreation District,0
DIST_REG_Valley Center Parks and Recreation,0
DIST_REG_Hills Ferry Cemetery District,0
DIST_REG_Wasco Recreation and Park District,0
DIST_REG_Bardsdale Cemetery District,0
DIST_REG_West Side Recreation and Park District,0
DIST_REG_Isla Vista Recreation and Park District,0
DIST_REG_Willow Creek Community Services District,0
DIST_REG_Jamestown Cemetery District,0
DIST_REG_Woodville Public Cemetery District,0
DIST_REG_Joshua Tree Park and Recreation District,0
DIST_RWD_Castaic Lake Water Agency,0
DIST_REG_Jurupa Area Recreation and Park District,0
DIST_REG_Cambria Community Services District,0
DIST_REG_Jurupa Community Services District,0
DIST_RWD_Malaga County Water District,0
DIST_REG_King City Cemetery District,0
DIST_REG_Castroville Cemetery District,0
DIST_REG_Kingsburg Cemetery District,0
DIST_RWD_North Marin Water District,0
DIST_REG_Kinneloa Irrigation District,0
DIST_RWD_Padre Dam Municipal Water District,0
DIST_REG_La Canada Irrigation District,0
DIST_RWD_San Gabriel County Water District,0
DIST_REG_La Selva Beach Recreation District,0
DIST_RWD_South Sutter Water District,0
DIST_REG_Ladera Recreation District,0
DIST_RWD_Valley Center Water District,0
DIST_REG_Lake Cuyamaca Park and Recreation District,0
DIST_REG_Puente Hills Habitat Preservation Authority (Habitat Authority),0
DIST_REG_Lake Shastina Community Services District,0
DIST_REG_Rancho Simi Open Space Conservation Agency,0
DIST_REG_Lancaster Cemetery District,0
DIST_REG_Reedley Cemetery District,0
DIST_REG_Lindsay-Strathmore Cemetery District,0
DIST_REG_Rim of the World Recreation and Park District,0
DIST_REG_Littlerock Creek Irrigation District,0
DIST_REG_Carpinteria Cemetery District,0
DIST_REG_Barstow Recreation and Park District,0
DIST_REG_Riverside-Corona Resource Conservation District,0
DIST_REG_Lompoc Cemetery District,0
DIST_REG_Rose Hills Memorial Park Association,0
DIST_REG_Los Alamos Cemetery District,0
DIST_REG_Russian River Recreation and Park District,0
DIST_REG_Los Angeles County Flood Control District,0
DIST_REG_Sacramento Area Flood Control Agency,0
DIST_REG_Los Angeles County Metropolitan Transportation Authority,0
DIST_REG_Sacramento Municipal Utility District,0
DIST_REG_Los Angeles Unified School District,0
DIST_REG_Salton Community Services District,0
DIST_REG_Los Banos Cemetery District,0
DIST_REG_San Bernardino County Flood Control District,0
DIST_REG_Madera Irrigation District,0
DIST_REG_Coachella Valley Association of Governments,0
DIST_REG_San Dieguito River Park Joint Powers Authority,0
DIST_REG_Manila Community Services District,0
"DIST_REG_San Francisco, Port of",0
DIST_REG_Bear Mountain Recreation and Park District,0
DIST_REG_Sanitation Districts of Los Angeles County,0
DIST_REG_Marin Public Works Dept/Flood Control,0
DIST_REG_Brookstrail Greenbelt,0
DIST_REG_Bear Valley Springs Community Services District,0
DIST_REG_Santa Maria Cemetery District,0
DIST_REG_McCloud Community Services District,0
DIST_REG_Selma Cemetery District,0
DIST_REG_McFarland Recreation and Park District,0
DIST_REG_Shaws Flat Cemetery District,0
DIST_REG_McKinleyville Community Services District,0
DIST_REG_Solano Irrigation District,0
DIST_REG_Merced Cemetery District,0
DIST_REG_Soledad Cemetery District,0
DIST_REG_Beaumont-Cherry Valley Recreation and Park District,0
DIST_REG_Arcadia Unified School District,0
DIST_REG_Big Bear Valley Recreation and Park District,0
DIST_REG_Southgate Recreation and Park District,0
DIST_REG_Mission Oaks Recreation and Park District,0
DIST_REG_Sunrise Recreation and Park District,0
DIST_REG_Modesto Irrigation District,0
DIST_REG_Tahoe City Public Utilities District,0
DIST_REG_Monte Rio Recreation and Park District,0
DIST_REG_Tehachapi Valley Recreation and Parks District,0
DIST_REG_Monterey Peninsula Regional Park District,0
DIST_REG_Three Rivers Public Cemetery District,0
DIST_REG_Morongo Valley Community Services District,0
DIST_REG_Truckee-Donner Recreation and Park District,0
DIST_REG_Moss Landing Harbor District,0
DIST_REG_Tulare Veterans Memorial District,0
DIST_REG_Mountain House Community Services District,0
DIST_REG_Turlock Irrigation District,0
DIST_REG_Bolinas Community Public Utility District,0
DIST_REG_Twentynine Palms Park and Recreation District,0
DIST_REG_Mt. Shasta Recreation and Park District,0
DIST_REG_Valley-Wide Recreation and Park District,0
DIST_REG_Napa County Regional Park and Open Space District,0
DIST_REG_Vista Irrigation District,0
DIST_REG_Native Habitat Preservation Authority,0
DIST_REG_Washington Colony Cemetery District,0
DIST_REG_Natomas Basin Conservancy,0
DIST_REG_Weed Recreation and Parks District,0
DIST_REG_Nevada Irrigation District,0
DIST_REG_Western Gateway Recreation and Park District,0
DIST_REG_North County Fire District,0
DIST_REG_Westside Union School District,0
DIST_REG_North County Recreation and Park District,0
DIST_REG_Wilmington Public Cemetery District,0
DIST_REG_North County Transit District,0
DIST_REG_Woodlake Public Cemetery District,0
DIST_REG_North Highland Recreation and Park District,0
DIST_RWD_Alameda County Flood Control and Water Conservation District,0
DIST_REG_North of the River Recreation and Park District,0
DIST_RWD_Casitas Municipal Water District,0
DIST_REG_North Tahoe Public Utilities District,0
DIST_REG_Browns Valley Irrigation District,0
DIST_REG_Novato Sanitary District,0
DIST_REG_California Reclamation District 2140,0
DIST_REG_Oak Grove Cemetery District,0
DIST_RWD_Helix Water District,0
DIST_REG_Oak Hill Cemetery District,0
DIST_RWD_Las Virgenes Municipal Water District,0
DIST_REG_Olivehurst Public Utility District,0
DIST_RWD_Marin Municipal Water District,0
DIST_REG_Orange County Cemetery District,0
DIST_REG_Cambria Public Cemetery District,0
DIST_REG_Orangevale Recreation and Park District,0
DIST_RWD_Monterey County Water Resources Agency,0
DIST_REG_Carmichael Recreation and Park District,0
DIST_RWD_North Coast Water District,0
DIST_RWD_Watershed Conservation Authority,0
DIST_RWD_Olivenhain Municipal Water District,0
DIST_RWD_Yucaipa Valley Water District,0
DIST_RWD_Otay Water District,0
DIST_REG_Aptos Sanitation District,0
DIST_RWD_Rainbow Municipal Water District,0
DIST_REG_Arden Manor Recreation and Park District,0
DIST_RWD_San Diego County Water Authority,0
DIST_RWD_Santa Barbara Flood Control and Water Conserv. District,0
DIST_RWD_San Gabriel River Water Committee,0
DIST_RWD_Santa Margarita Water District,0
DIST_REG_Central Plumas Recreation and Parks District,0
DIST_RWD_Sonoma County Water Agency,0
DIST_REG_Aromona Community Services District,0
DIST_RWD_Scotts Valley Water District,0
DIST_REG_Plainsburg Cemetery District,0
DIST_RWD_Soquel Creek Water District,0
DIST_REG_Pleasant Hill Recreation and Park District,0
DIST_RWD_Trabuco Canyon Water District,0
DIST_REG_Pleasant Valley Recreation and Park District,0
DIST_RWD_Vallecitos Water District,0
DIST_REG_Port of Los Angeles,0
DIST_REG_Camp Meeker Recreation and Parks District,0
DIST_REG_Port San Luis Harbor District,0
DIST_REG_Pajaro Community Services District,0
DIST_RWD_Yuima Municipal Water District,0
DIST_REG_Arcade Creek Recreation and Park District,0
FED_DOD,0
FED_OTHR,0
DIST_REG_Arden Park Recreation and Park District,0
"LOC_CITY_Agoura Hills, City of",0
"LOC_CITY_Albany, City of",0
DIST_REG_Arbuckle Parks and Recreation District,0
DIST_REG_Apple Valley Recreation and Park District,0
DIST_REG_Pajaro Valley Public Cemetery District,0
"LOC_CITY_Adelanto, City of",0
DIST_REG_Paradise Recreation and Park District,0
"LOC_CITY_Alameda, City of",0
DIST_REG_Parlier Cemetery District,0
DIST_REG_Ambrose Recreation and Park District,0
DIST_REG_Piru Cemetery District,0
